ticker,start_date,end_date,sentiment_score
MELI,2023-07-23,2023-07-29,0
DOCU,2023-07-23,2023-07-29,0
ADSK,2023-07-23,2023-07-29,0.42
EA,2023-07-23,2023-07-29,0
WDAY,2023-07-23,2023-07-29,0
SNPS,2023-07-23,2023-07-29,0
ILMN,2023-07-23,2023-07-29,0
ROST,2023-07-23,2023-07-29,0
CTAS,2023-07-23,2023-07-29,0
EBAY,2023-07-23,2023-07-29,0.28
KLAC,2023-07-23,2023-07-29,0.28
MNST,2023-07-23,2023-07-29,0
CDNS,2023-07-23,2023-07-29,0
CTSH,2023-07-23,2023-07-29,0
ORLY,2023-07-23,2023-07-29,0
DLTR,2023-07-23,2023-07-29,0
LULU,2023-07-23,2023-07-29,0
FAST,2023-07-23,2023-07-29,0
XEL,2023-07-23,2023-07-29,0
CTXS,2023-07-23,2023-07-29,0
NXPI,2023-07-23,2023-07-29,0
PCAR,2023-07-23,2023-07-29,0
SIRI,2023-07-23,2023-07-29,0.73
MAR,2023-07-23,2023-07-29,0.44
SGEN,2023-07-23,2023-07-29,0
EXC,2023-07-23,2023-07-29,0
ODFL,2023-07-23,2023-07-29,0.38
PAYX,2023-07-23,2023-07-29,0
ALGN,2023-07-23,2023-07-29,0
SWKS,2023-07-23,2023-07-29,0
TEAM,2023-07-23,2023-07-29,0
WBA,2023-07-23,2023-07-29,-0.53
ADI,2023-07-23,2023-07-29,0.87
VRSK,2023-07-23,2023-07-29,0
CDW,2023-07-23,2023-07-29,0
BIDU,2023-07-23,2023-07-29,0
CHTR,2023-07-23,2023-07-29,0
VRSN,2023-07-23,2023-07-29,0
INCY,2023-07-23,2023-07-29,0
WDAY,2023-07-23,2023-07-29,0
ANSS,2023-07-23,2023-07-29,0
CPRT,2023-07-23,2023-07-29,0
UAL,2023-07-23,2023-07-29,0.72
TTWO,2023-07-23,2023-07-29,0.26
REG,2023-07-23,2023-07-29,0
HPE,2023-07-23,2023-07-29,0
EXPE,2023-07-23,2023-07-29,0
MCHP,2023-07-23,2023-07-29,0
VRSN,2023-07-23,2023-07-29,0.2
XLNX,2023-07-23,2023-07-29,0
BKNG,2023-07-23,2023-07-29,0
MXIM,2023-07-23,2023-07-29,0
PAYC,2023-07-23,2023-07-29,0
CTAS,2023-07-23,2023-07-29,0
TECH,2023-07-23,2023-07-29,0.0
WDAY,2023-07-23,2023-07-29,0.39
AAPL,2023-07-30,2023-08-05,-0.24
MSFT,2023-07-30,2023-08-05,0
GOOG,2023-07-30,2023-08-05,0
AMZN,2023-07-30,2023-08-05,0.61
TSLA,2023-07-30,2023-08-05,0
META,2023-07-30,2023-08-05,0
NVDA,2023-07-30,2023-08-05,0
NFLX,2023-07-30,2023-08-05,0
PEP,2023-07-30,2023-08-05,0
ADBE,2023-07-30,2023-08-05,0
INTC,2023-07-30,2023-08-05,0
CSCO,2023-07-30,2023-08-05,0
CMCSA,2023-07-30,2023-08-05,0
AVGO,2023-07-30,2023-08-05,0.23
