Ticker,Role Name,Role Rank,Role Rank Name,Total Pay,Base Pay,Stock,Bonus
INTC,software-engineer,5,"Grade 8
Staff Engineer",268100.0,207300.0,49000.0,11900.0
INTC,software-engineer,6,"Grade 9
Senior Staff Eng",310700.0,241200.0,60600.0,8900.0
INTC,software-engineer,7,"Grade 10
Principal Eng",380300.0,254800.0,84200.0,41200.0
INTC,software-engineer,8,"Grade 11
Senior Principal Eng",575200.0,285900.0,168800.0,120400.0
INTC,software-engineer,9,"Grade 12
Fellow",818100.0,331900.0,305800.0,180400.0
INTC,software-engineer,10,"Grade 13
Senior Fellow",,,,
INTC,solution-architect,1,Grade 5,,,,
INTC,solution-architect,2,Grade 6,190800.0,151300.0,17600.0,21900.0
INTC,solution-architect,3,Grade 7,178700.0,154800.0,14600.0,9300.0
INTC,solution-architect,4,"Grade 8
Staff SA",214800.0,164900.0,29300.0,20600.0
INTC,solution-architect,5,"Grade 9
Senior Staff SA",307200.0,227000.0,59000.0,21200.0
INTC,solution-architect,6,"Grade 10
Principal SA",372000.0,242000.0,72300.0,57700.0
INTC,solution-architect,7,"Grade 11
Senior Principal SA",,,,
INTC,hardware-engineer,1,Grade 5,138100.0,122700.0,6500.0,8900.0
INTC,hardware-engineer,2,Grade 6,163700.0,137600.0,22000.0,4100.0
INTC,hardware-engineer,3,Grade 7,186700.0,154900.0,25100.0,6700.0
INTC,hardware-engineer,4,"Grade 8
Staff Engineer",229100.0,188100.0,31300.0,9700.0
INTC,hardware-engineer,5,"Grade 9
Senior Staff Eng",280100.0,215600.0,48000.0,16500.0
INTC,hardware-engineer,6,"Grade 10
Principal Eng",369100.0,240900.0,75700.0,52500.0
INTC,hardware-engineer,7,"Grade 11
Senior Principal Eng",499400.0,266000.0,132700.0,100700.0
INTC,hardware-engineer,8,"Grade 12
Fellow",633000.0,278000.0,162500.0,192500.0
INTC,hardware-engineer,9,"Grade 13
Senior Fellow",,,,
INTC,product-manager,1,Grade 5,186200.0,131500.0,29000.0,25700.0
INTC,product-manager,2,Grade 6,119900.0,108600.0,6100.0,5200.0
INTC,product-manager,3,Grade 7,177300.0,147600.0,20700.0,9100.0
INTC,product-manager,4,Grade 8,187100.0,152500.0,18900.0,15700.0
INTC,product-manager,5,Grade 9,302700.0,212000.0,57400.0,33200.0
INTC,product-manager,6,"Grade 10
Director",384100.0,223700.0,93200.0,67200.0
INTC,product-manager,7,"Grade 11
Senior Director",596600.0,285800.0,190900.0,119900.0
INTC,technical-program-manager,1,Grade 5,111100.0,100400.0,5900.0,4800.0
INTC,technical-program-manager,2,Grade 6,133500.0,117600.0,11100.0,4800.0
INTC,technical-program-manager,3,Grade 7,172300.0,144000.0,21400.0,6900.0
INTC,technical-program-manager,4,"Grade 8
Staff TPM",203400.0,165200.0,23300.0,14900.0
INTC,technical-program-manager,5,"Grade 9
Senior Staff TPM",262900.0,193400.0,42100.0,27500.0
INTC,technical-program-manager,6,"Grade 10
Principal TPM",325400.0,229700.0,50400.0,45300.0
INTC,technical-program-manager,7,"Grade 11
Senior Principal TPM",446800.0,276700.0,87500.0,82700.0
INTC,data-scientist,1,Grade 5,122400.0,106300.0,8500.0,7700.0
INTC,data-scientist,2,Grade 6,158400.0,134300.0,14600.0,9500.0
