ticker,start_date,end_date,sentiment_score
EXPE,2025-04-02,2025-04-08,0.25
MCHP,2025-04-02,2025-04-08,0
VRSN,2025-04-02,2025-04-08,0.0
XLNX,2025-04-02,2025-04-08,0
BKNG,2025-04-02,2025-04-08,0
MXIM,2025-04-02,2025-04-08,0
PAYC,2025-04-02,2025-04-08,0
CTAS,2025-04-02,2025-04-08,0.36
TECH,2025-04-02,2025-04-08,0
WDAY,2025-04-02,2025-04-08,0.48
AAPL,2025-04-09,2025-04-15,0.46
MSFT,2025-04-09,2025-04-15,0
GOOG,2025-04-09,2025-04-15,0.35
AMZN,2025-04-09,2025-04-15,0.19
TSLA,2025-04-09,2025-04-15,0
META,2025-04-09,2025-04-15,0
NVDA,2025-04-09,2025-04-15,0
NFLX,2025-04-09,2025-04-15,0
PEP,2025-04-09,2025-04-15,0
ADBE,2025-04-09,2025-04-15,0
INTC,2025-04-09,2025-04-15,0
CSCO,2025-04-09,2025-04-15,0.0
CMCSA,2025-04-09,2025-04-15,0
AVGO,2025-04-09,2025-04-15,0.33
PYPL,2025-04-09,2025-04-15,0
TXN,2025-04-09,2025-04-15,0
COST,2025-04-09,2025-04-15,0
QCOM,2025-04-09,2025-04-15,0
AMGN,2025-04-09,2025-04-15,0
SBUX,2025-04-09,2025-04-15,0
AMD,2025-04-09,2025-04-15,0.41
HON,2025-04-09,2025-04-15,0
GILD,2025-04-09,2025-04-15,0
ISRG,2025-04-09,2025-04-15,0.0
BKNG,2025-04-09,2025-04-15,0
ADP,2025-04-09,2025-04-15,0
MDLZ,2025-04-09,2025-04-15,0
VRTX,2025-04-09,2025-04-15,0
REGN,2025-04-09,2025-04-15,0
LRCX,2025-04-09,2025-04-15,0
FISV,2025-04-09,2025-04-15,0
INTU,2025-04-09,2025-04-15,0.23
MRNA,2025-04-09,2025-04-15,0
MU,2025-04-09,2025-04-15,0
ZM,2025-04-09,2025-04-15,0
IDXX,2025-04-09,2025-04-15,0
ASML,2025-04-09,2025-04-15,0
ATVI,2025-04-09,2025-04-15,0
KHC,2025-04-09,2025-04-15,0.8
BIIB,2025-04-09,2025-04-15,0
MELI,2025-04-09,2025-04-15,0
DOCU,2025-04-09,2025-04-15,0.81
ADSK,2025-04-09,2025-04-15,0
EA,2025-04-09,2025-04-15,0
WDAY,2025-04-09,2025-04-15,0
SNPS,2025-04-09,2025-04-15,0.0
ILMN,2025-04-09,2025-04-15,0
ROST,2025-04-09,2025-04-15,0
CTAS,2025-04-09,2025-04-15,0
EBAY,2025-04-09,2025-04-15,0.0
KLAC,2025-04-09,2025-04-15,0
MNST,2025-04-09,2025-04-15,0
CDNS,2025-04-09,2025-04-15,-0.03
CTSH,2025-04-09,2025-04-15,0
ORLY,2025-04-09,2025-04-15,0
DLTR,2025-04-09,2025-04-15,0
LULU,2025-04-09,2025-04-15,0
FAST,2025-04-09,2025-04-15,0
XEL,2025-04-09,2025-04-15,0
CTXS,2025-04-09,2025-04-15,0
NXPI,2025-04-09,2025-04-15,0
PCAR,2025-04-09,2025-04-15,0
SIRI,2025-04-09,2025-04-15,0
MAR,2025-04-09,2025-04-15,0
SGEN,2025-04-09,2025-04-15,0
EXC,2025-04-09,2025-04-15,0.33
ODFL,2025-04-09,2025-04-15,0
PAYX,2025-04-09,2025-04-15,0.24
ALGN,2025-04-09,2025-04-15,0
SWKS,2025-04-09,2025-04-15,-0.03
TEAM,2025-04-09,2025-04-15,0
WBA,2025-04-09,2025-04-15,0
ADI,2025-04-09,2025-04-15,0
VRSK,2025-04-09,2025-04-15,0
CDW,2025-04-09,2025-04-15,0
BIDU,2025-04-09,2025-04-15,0.28
CHTR,2025-04-09,2025-04-15,0.26
VRSN,2025-04-09,2025-04-15,0
INCY,2025-04-09,2025-04-15,0
WDAY,2025-04-09,2025-04-15,0
ANSS,2025-04-09,2025-04-15,0
CPRT,2025-04-09,2025-04-15,0
UAL,2025-04-09,2025-04-15,0.39
TTWO,2025-04-09,2025-04-15,0
REG,2025-04-09,2025-04-15,0
HPE,2025-04-09,2025-04-15,0.71
EXPE,2025-04-09,2025-04-15,0
MCHP,2025-04-09,2025-04-15,0
VRSN,2025-04-09,2025-04-15,0
