Ticker,2022,2023,2024,2025
EXC,38.98905944824219,33.54486846923828,36.63681411743164,46.790000915527344
ZS,111.9000015258789,221.55999755859375,180.41000366210938,292.75
WBD,9.479999542236328,11.380000114440918,10.569999694824219,18.600000381469727
PAYX,106.5423583984375,113.1605224609375,137.2706298828125,127.0199966430664
FANG,121.4806137084961,145.36422729492188,160.40443420410156,148.91000366210938
CPRT,30.44499969482422,49.0,57.38999938964844,44.22999954223633
CCEP,51.5937614440918,64.23451232910156,76.02274322509766,88.16000366210938
TEAM,128.67999267578125,237.86000061035156,243.3800048828125,150.1199951171875
CHTR,339.1000061035156,388.67999267578125,342.7699890136719,276.4800109863281
MCHP,65.89002990722656,86.24990844726562,56.09676742553711,64.95999908447266
KDP,32.896766662597656,31.503149032592773,31.17189598083496,25.329999923706055
