Ticker,Company,City,State,Address,Market Cap,Total Revenue,Net Profit (TTM),Dividend Yield,Dividend Rate,Full-Time Employees,Sector,Industry,Trailing PE,Forward PE,Beta
VRTX,Vertex Pharmaceuticals Incorporated,Boston,MA,50 Northern Avenue,104245878784,11418800128,3637600000,0.0,0.0,6100,Healthcare,Biotechnology,28.918207,21.661694,0.431
CDNS,"Cadence Design Systems, Inc.",San Jose,CA,Building 5,89300418560,5089287168,1011950976,0.0,0.0,13152,Technology,Software - Application,88.572975,47.842335,0.988
MSTR,Strategy Inc,Tysons Corner,VA,1850 Towers Crescent Plaza,88420859904,462321984,4734145024,0.0,0.0,1512,Technology,Software - Application,21.61193,-716.2093,3.846
SBUX,Starbucks Corporation,Seattle,WA,2401 Utah Avenue South,89816350720,36689301504,2632399872,3.11,2.48,361000,Consumer Cyclical,Restaurants,34.205627,21.240591,0.998
SNPS,"Synopsys, Inc.",Sunnyvale,CA,675 Almanor Avenue,82316361728,6435303936,1166705024,0.0,0.0,20000,Technology,Software - Infrastructure,59.805656,29.80228,1.097
ORLY,"O'Reilly Automotive, Inc.",Springfield,MO,233 South Patterson Avenue,86805454848,17122020352,2423674112,0.0,0.0,92810,Consumer Cyclical,Auto Parts,36.66846,2.2764797,0.598
MDLZ,"Mondelez International, Inc.",Chicago,IL,905 West Fulton Market,79901130752,37105000448,3640999936,3.28,2.0,90000,Consumer Defensive,Confectioners,22.619047,18.002914,0.457
CTAS,Cintas Corporation,Cincinnati,OH,6800 Cintas Boulevard,76155748352,10556716032,1845040000,0.94,1.8,48300,Industrials,Specialty Business Services,42.018845,40.492523,1.002
MRVL,"Marvell Technology, Inc.",Wilmington,DE,1000 North West Street,75196669952,7234899968,-103400000,0.26,0.24,7042,Technology,Semiconductors,N/A,34.89,1.94
ABNB,"Airbnb, Inc.",San Francisco,CA,888 Brannan Street,72412168192,11580000256,2624999936,0.0,0.0,7300,Consumer Cyclical,Travel Services,28.707525,26.283333,1.109
MAR,"Marriott International, Inc.",Bethesda,MD,7750 Wisconsin Avenue,71086661632,6783000064,2467000064,1.01,2.68,418000,Consumer Cyclical,Lodging,29.456692,24.704716,1.346
PYPL,"PayPal Holdings, Inc.",San Jose,CA,2211 North First Street,67793559552,32291999744,4679000064,0.0,0.0,24400,Financial Services,Credit Services,15.1948395,14.511228,1.446
TRI,Thomson Reuters Corporation,Toronto,ON,19 Duncan Street,68614336512,7318000128,1602000000,1.59,2.38,26400,Industrials,Specialty Business Services,42.5618,37.691544,0.31
CSX,CSX Corporation,Jacksonville,FL,500 Water Street,66256404480,14154999808,3102000128,1.44,0.52,23500,Industrials,Railroads,21.803682,17.50739,1.286
ADSK,"Autodesk, Inc.",San Francisco,CA,One Market Street,64694493184,6605000192,1043000000,0.0,0.0,15300,Technology,Software - Application,63.145535,33.086056,1.491
MNST,Monster Beverage Corporation,Corona,CA,1 Monster Way,67900813312,7659164160,1573416960,0.0,0.0,5527,Consumer Defensive,Beverages - Non-Alcoholic,43.192547,37.187164,0.541
FTNT,"Fortinet, Inc.",Sunnyvale,CA,909 Kifer Road,64022372352,6337900032,1939600000,0.0,0.0,14898,Technology,Software - Infrastructure,33.287292,34.668507,1.098
AEP,"American Electric Power Company, Inc.",Columbus,OH,1 Riverside Plaza,62731427840,20666699776,3649700096,3.18,3.72,16330,Utilities,Utilities - Regulated Electric,17.199413,19.915112,0.464
WDAY,"Workday, Inc.",Pleasanton,CA,6110 Stoneridge Mall Road,62606159872,8958999552,583000000,0.0,0.0,19517,Technology,Software - Application,109.57008,28.2506,1.104
REGN,"Regeneron Pharmaceuticals, Inc.",Tarrytown,NY,777 Old Saw Mill River Road,59356147712,14214200320,4458599936,0.62,3.52,15182,Healthcare,Biotechnology,14.117218,12.359965,0.307
AXON,"Axon Enterprise, Inc.",Scottsdale,AZ,17800 North 85th Street,55753854976,2391589888,326305984,0.0,0.0,4100,Industrials,Aerospace & Defense,175.79208,114.54839,1.415
NXPI,NXP Semiconductors N.V.,Eindhoven,,60 High Tech Campus,52465049600,12122000384,2148000000,1.83,4.06,33100,Technology,Semiconductors,24.803337,15.92196,1.447
