Ticker,Name,Address,Country,State,Company Type,Sector,Industry,Founding Year,Employee Count,Employee Rating,CEO Approval Percentage,Latitude,Longitude
PCAR,PACCAR Inc,777 - 106th Avenue N.E.,United States,WA,Public,Industrials,Farm & Heavy Construction Machinery,1905.0,30100,3.8,79.0,46.9394482,-98.2277237
IDXX,"IDEXX Laboratories, Inc.",One IDEXX Drive,United States,ME,Public,Healthcare,Diagnostics & Research,1983.0,11000,3.5,52.0,43.6618552,-70.3731313
EA,Electronic Arts Inc.,209 Redwood Shores Parkway,United States,CA,Public,Communication Services,Electronic Gaming & Multimedia,1982.0,14500,4.0,73.0,37.5228311,-122.254489
ROST,"Ross Stores, Inc.",5130 Hacienda Drive,United States,CA,Public,Consumer Cyclical,Apparel Retail,1982.0,107000,3.4,81.0,29.5598831,-98.3878658
XEL,Xcel Energy Inc.,414 Nicollet Mall,United States,MN,Public,Utilities,Utilities - Regulated Electric,1909.0,11380,3.2,29.0,44.9796326,-93.2704443
TTWO,"Take-Two Interactive Software, Inc.",110 West 44th Street,United States,NY,Public,Communication Services,Electronic Gaming & Multimedia,1993.0,12928,3.9,71.0,41.8669706,-80.7801907
BKR,Baker Hughes Company,575 North Dairy Ashford Road,United States,TX,Public,Energy,Oil & Gas Equipment & Services,1907.0,57000,3.9,82.0,29.7677972,-95.6061328
EXC,Exelon Corporation,10 South Dearborn Street,United States,IL,Public,Utilities,Utilities - Regulated Electric,2000.0,20000,4.0,75.0,41.8816239,-87.6301402
ZS,"Zscaler, Inc.",120 Holger Way,United States,CA,Public,Technology,Software - Infrastructure,2008.0,7923,3.5,82.0,37.4182054,-121.9531508
WBD,"Warner Bros. Discovery, Inc.",230 Park Avenue South,United States,NY,Public,Communication Services,Entertainment,2022.0,35000,3.6,40.0,40.737711,-73.9886942
PAYX,"Paychex, Inc.",911 Panorama Trail South,United States,NY,Public,Technology,Software - Application,1971.0,19000,3.2,51.0,43.1251599,-77.4920402
FANG,"Diamondback Energy, Inc.",500 West Texas Avenue,United States,TX,Public,Energy,Oil & Gas E&P,,1983,3.7,99.0,31.998537,-102.079463
CPRT,"Copart, Inc.",14185 Dallas Parkway,United States,TX,Public,Industrials,Specialty Business Services,1982.0,13800,3.4,68.0,33.0028674,-96.8294385
CCEP,Coca-Cola Europacific Partners PLC,Pemberton House,United Kingdom,,Public,Consumer Defensive,Beverages - Non-Alcoholic,1929.0,41000,3.7,80.0,51.5472576,-0.4773375
TEAM,Atlassian Corporation,341 George Street,Australia,NSW,Public,Technology,Software - Application,2002.0,13813,3.2,50.0,-33.8672623,151.2064867
CHTR,"Charter Communications, Inc.",400 Washington Blvd.,United States,CT,Public,Communication Services,Telecom Services,,94500,3.3,,43.035275,-76.0311677
MCHP,Microchip Technology Incorporated,2355 West Chandler Boulevard,United States,AZ,Public,Technology,Semiconductors,1989.0,19400,3.7,82.0,33.3040695,-111.8835606
KDP,Keurig Dr Pepper Inc.,53 South Avenue,United States,MA,Public,Consumer Defensive,Beverages - Non-Alcoholic,2018.0,29400,3.4,61.0,40.6388183,-74.165841
VRSK,"Verisk Analytics, Inc.",545 Washington Boulevard,United States,NJ,Public,Industrials,Consulting Services,1971.0,7800,3.9,85.0,33.9834846,-118.4598166
CSGP,"CoStar Group, Inc.",1201 Wilson Blvd,United States,VA,Public,Real Estate,Real Estate Services,1987.0,6593,2.6,32.0,38.8955712,-77.071163
GEHC,GE HealthCare Technologies Inc.,500 West Monroe Street,United States,IL,Public,Healthcare,Health Information Services,1892.0,53000,4.2,90.0,41.8807967,-87.6404094
CTSH,Cognizant Technology Solutions Corporation,300 Frank West Burr Boulevard,United States,NJ,Public,Technology,Information Technology Services,1994.0,343800,3.6,62.0,40.87313585013227,-74.00533660324213
KHC,The Kraft Heinz Company,One PPG Place,United States,PA,Public,Consumer Defensive,Packaged Foods,2015.0,36000,3.8,91.0,40.4400104,-80.0037606
ODFL,"Old Dominion Freight Line, Inc.",500 Old Dominion Way,United States,NC,Public,Industrials,Trucking,1934.0,21719,3.9,84.0,35.9089197,-80.0588492
TTD,"The Trade Desk, Inc.",42 North Chestnut Street,United States,CA,Public,Communication Services,Advertising Agencies,2009.0,3522,4.2,88.0,34.2814276,-119.2913009
DXCM,"DexCom, Inc.",6340 Sequence Drive,Brazil,CA,Private,Healthcare,Medical Devices,1951.0,10200,3.9,49.0,32.9069589,-117.1859864
BIIB,Biogen Inc.,225 Binney Street,United States,MA,Public,Healthcare,Drug Manufacturers - General,1978.0,7605,3.7,58.0,42.3664435,-71.0851409
LULU,lululemon athletica inc.,1818 Cornwall Avenue,Canada,BC,Public,Consumer Cyclical,Apparel Retail,1998.0,39000,4.1,82.0,49.2719955,-123.1470927
CDW,CDW Corporation,200 N. Milwaukee Avenue,Canada,IL,Public,Technology,Information Technology Services,1984.0,15100,3.6,69.0,42.2292241,-87.9436658
ON,ON Semiconductor Corporation,5701 North Pima Road,United States,AZ,Public,Technology,Semiconductors,,26400,3.2,,33.5194439,-111.889114
GFS,GLOBALFOUNDRIES Inc.,400 Stonebreak Road Extension,United States,NY,Public,Technology,Semiconductors,2009.0,13000,3.7,78.0,42.9707616,-73.7565385
