company name,company ticker,company location,role name,role rank,role level,total pay (USD),base pay (USD),stock (USD),bonus (USD),upper bound (USD),lower bound (USD),years at company,years of experience
intel,INTC,United States,software-engineer,2,Grade 5,136400,120600,9000,6800,,,,
intel,INTC,United States,software-engineer,3,Grade 6,167900,142200,20600,5100,,,,
intel,INTC,United States,software-engineer,4,Grade 7,198100,163200,31800,3100,,,,
intel,INTC,United States,software-engineer,5,"Grade 8
Staff Engineer",268100,207300,49000,11900,,,,
intel,INTC,United States,software-engineer,6,"Grade 9
Senior Staff Eng",310700,241200,60600,8900,,,,
intel,INTC,United States,software-engineer,7,"Grade 10
Principal Eng",380300,254800,84200,41200,,,,
intel,INTC,United States,software-engineer,8,"Grade 11
Senior Principal Eng",575200,285900,168800,120400,,,,
intel,INTC,United States,software-engineer,9,"Grade 12
Fellow",818100,331900,305800,180400,,,,
intel,INTC,United States,software-engineer,10,"Grade 13
Senior Fellow",,,,,,,,
intel,INTC,United States,solution-architect,1,Grade 5,,,,,,,,
intel,INTC,United States,solution-architect,2,Grade 6,190800,151300,17600,21900,,,,
intel,INTC,United States,solution-architect,3,Grade 7,178700,154800,14600,9300,,,,
intel,INTC,United States,solution-architect,4,"Grade 8
Staff SA",214800,164900,29300,20600,,,,
intel,INTC,United States,solution-architect,5,"Grade 9
Senior Staff SA",307200,227000,59000,21200,,,,
intel,INTC,United States,solution-architect,6,"Grade 10
Principal SA",372000,242000,72300,57700,,,,
intel,INTC,United States,solution-architect,7,"Grade 11
Senior Principal SA",,,,,,,,
intel,INTC,United States,hardware-engineer,1,Grade 5,138100,122700,6500,8900,,,,
intel,INTC,United States,hardware-engineer,2,Grade 6,163700,137600,22000,4100,,,,
intel,INTC,United States,hardware-engineer,3,Grade 7,186700,154900,25100,6700,,,,
intel,INTC,United States,hardware-engineer,4,"Grade 8
Staff Engineer",229100,188100,31300,9700,,,,
intel,INTC,United States,hardware-engineer,5,"Grade 9
Senior Staff Eng",280100,215600,48000,16500,,,,
intel,INTC,United States,hardware-engineer,6,"Grade 10
Principal Eng",369100,240900,75700,52500,,,,
intel,INTC,United States,hardware-engineer,7,"Grade 11
Senior Principal Eng",499400,266000,132700,100700,,,,
intel,INTC,United States,hardware-engineer,8,"Grade 12
Fellow",633000,278000,162500,192500,,,,
intel,INTC,United States,hardware-engineer,9,"Grade 13
Senior Fellow",,,,,,,,
intel,INTC,United States,product-manager,1,Grade 5,186200,131500,29000,25700,,,,
intel,INTC,United States,product-manager,2,Grade 6,119900,108600,6100,5200,,,,
intel,INTC,United States,product-manager,3,Grade 7,177300,147600,20700,9100,,,,
intel,INTC,United States,product-manager,4,Grade 8,187100,152500,18900,15700,,,,
intel,INTC,United States,product-manager,5,Grade 9,302700,212000,57400,33200,,,,
intel,INTC,United States,product-manager,6,"Grade 10
Director",384100,223700,93200,67200,,,,
intel,INTC,United States,product-manager,7,"Grade 11
Senior Director",596600,285800,190900,119900,,,,
intel,INTC,United States,technical-program-manager,1,Grade 5,111100,100400,5900,4800,,,,
intel,INTC,United States,technical-program-manager,2,Grade 6,133500,117600,11100,4800,,,,
intel,INTC,United States,technical-program-manager,3,Grade 7,172300,144000,21400,6900,,,,
intel,INTC,United States,technical-program-manager,4,"Grade 8
Staff TPM",203400,165200,23300,14900,,,,
intel,INTC,United States,technical-program-manager,5,"Grade 9
Senior Staff TPM",262900,193400,42100,27500,,,,
intel,INTC,United States,technical-program-manager,6,"Grade 10
Principal TPM",325400,229700,50400,45300,,,,
intel,INTC,United States,technical-program-manager,7,"Grade 11
Senior Principal TPM",446800,276700,87500,82700,,,,
intel,INTC,United States,data-scientist,1,Grade 5,122400,106300,8500,7700,,,,
intel,INTC,United States,data-scientist,2,Grade 6,158400,134300,14600,9500,,,,
intel,INTC,United States,data-scientist,3,Grade 7,171200,141300,21300,8600,,,,
intel,INTC,United States,data-scientist,4,"Grade 8
Staff DS",235300,172800,47000,15500,,,,
intel,INTC,United States,data-scientist,5,"Grade 9
Senior Staff DS",253000,185900,39500,27600,,,,
intel,INTC,United States,data-scientist,6,"Grade 10
Principal DS",,,,,,,,
intel,INTC,United States,data-scientist,7,"Grade 11
Senior Principal DS",,,,,,,,
intel,INTC,United States,marketing,1,Grade 5,91000,85700,667,4700,,,,
intel,INTC,United States,marketing,2,Grade 6,138900,121100,5700,12200,,,,
intel,INTC,United States,marketing,3,Grade 7,156600,135800,10200,10600,,,,
intel,INTC,United States,marketing,4,Grade 8,192800,159000,16000,17900,,,,
intel,INTC,United States,marketing,5,Grade 9,258200,194100,23800,40400,,,,
intel,INTC,United States,marketing,6,Grade 10,306000,200000,41700,64300,,,,
intel,INTC,United States,marketing,7,Grade 11,,,,,,,,
intel,INTC,United States,mechanical-engineer,1,Grade 5,106700,97100,1800,7800,,,,
intel,INTC,United States,mechanical-engineer,2,Grade 6,139100,116900,16800,5400,,,,
intel,INTC,United States,mechanical-engineer,3,Grade 7,171000,140300,22600,8100,,,,
intel,INTC,United States,mechanical-engineer,4,"Grade 8
Staff Engineer",203500,158000,34300,11100,,,,
intel,INTC,United States,mechanical-engineer,5,"Grade 9
Senior Staff Eng",255300,185600,44000,25800,,,,
intel,INTC,United States,mechanical-engineer,6,"Grade 10
Principal Eng",332500,228500,60000,44000,,,,
intel,INTC,United States,mechanical-engineer,7,"Grade 11
Senior Principal Eng",,,,,,,,
intel,INTC,United States,software-engineering-manager,1,Grade 7,209000,153000,35500,20500,,,,
intel,INTC,United States,software-engineering-manager,2,Grade 8,252900,189500,39700,23800,,,,
intel,INTC,United States,software-engineering-manager,3,"Grade 9
Senior Manager",324700,235800,64500,24300,,,,
intel,INTC,United States,software-engineering-manager,4,"Grade 10
Director",422900,268300,93500,61100,,,,
intel,INTC,United States,software-engineering-manager,5,"Grade 11
Senior Director",571300,308800,154100,108400,,,,
intel,INTC,United States,product-designer,1,Grade 5,129000,105400,17000,6700,,,,
intel,INTC,United States,product-designer,2,Grade 6,148800,131300,8800,8800,,,,
intel,INTC,United States,product-designer,3,Grade 7,177300,137600,30300,9400,,,,
intel,INTC,United States,product-designer,4,Grade 8,207300,159700,38300,9300,,,,
intel,INTC,United States,product-designer,5,Grade 9,271000,198900,38100,34000,,,,
intel,INTC,United States,product-designer,6,Grade 10,361800,241800,105000,15000,,,,
intel,INTC,United States,product-designer,7,Grade 11,,,,,,,,
intel,INTC,United States,product-designer,8,Fellow,,,,,,,,
microstrategy,MSTR,United States,software-engineer,1,"Associate Software Engineer
(Entry Level)",,,,,,,,
microstrategy,MSTR,United States,software-engineer,2,Software Engineer,113800,102800,3900,7100,,,,
microstrategy,MSTR,United States,software-engineer,3,Senior Software Engineer,143900,130800,4900,8200,,,,
microstrategy,MSTR,United States,software-engineer,4,Staff Software Engineer,,,,,,,,
microstrategy,MSTR,United States,software-engineer,5,Principal Software Engineer,230000,165000,51000,14000,,,,
microstrategy,MSTR,United States,software-engineer,6,Architect,243800,193800,50000,0,,,,
microstrategy,MSTR,United States,software-engineer,7,Senior Architect,270000,210000,26700,33300,,,,
microstrategy,MSTR,United States,software-engineer,8,Principal Architect,,,,,,,,
microstrategy,MSTR,United States,sales,,,208950,,,,222600,195300,,
microstrategy,MSTR,United States,sales-engineer,1,Associate Sales Engineer,,,,,,,,
microstrategy,MSTR,United States,sales-engineer,2,Sales Engineer,,,,,,,,
microstrategy,MSTR,United States,sales-engineer,3,Senior Sales Engineer,,,,,,,,
microstrategy,MSTR,United States,sales-engineer,4,Staff Sales Engineer,,,,,,,,
microstrategy,MSTR,United States,sales-engineer,5,Principal Sales Engineer,300000,200000,15000,85000,,,,
microstrategy,MSTR,United States,project-manager,,,200000,,,,212900,187100,,
microstrategy,MSTR,United States,product-manager,,,285600,,,,308000,263200,,
microstrategy,MSTR,United States,data-scientist,,,225400,,,,243800,207000,,
microstrategy,MSTR,United States,business-analyst,,,129350,,,,141700,117000,,
microstrategy,MSTR,United States,software-engineering-manager,,hidden,320000,190000,100000,30000,,,11+ Years,11+ Years
microstrategy,MSTR,United States,administrative-assistant,,,140700,,,,154000,127400,,
